时间,比利时,丹麦,英国,德国,法国,爱尔兰,意大利,卢森堡,荷兰,希腊,葡萄牙,西班牙,阿尔巴尼亚,安道尔,奥地利,保加利亚,芬兰,匈牙利,冰岛,列支敦士登,马耳他,摩纳哥,挪威,波兰,罗马尼亚,圣马力诺,瑞典,瑞士,爱沙尼亚,拉脱维亚,立陶宛,格鲁吉亚,亚美尼亚,阿塞拜疆,白俄罗斯,摩尔多瓦,俄罗斯联邦,乌克兰,南斯拉夫(塞尔维亚和黑山),斯洛文尼亚,克罗地亚,捷克,斯洛伐克,前南马其顿,波黑,塞尔维亚,黑山,海峡群岛,马恩岛
2015年,44510,60270,43700,45790,40710,52550,32830,77480,48850,20270,20470,28380,4280,,47260,7480,46560,12970,50110,,23900,,93530,13310,9510,,57900,84550,18320,14990,15080,4120,3880,6560,6470,2240,11720,2640,,22250,12760,18150,17570,5140,4670,5540,7220,,
2014年,46840,63640,43760,47680,42810,46880,34740,75940,51330,22000,21260,29290,4440,,50150,7720,48960,13460,48520,,23630,,104860,13630,9600,,60750,86170,18790,15340,16030,4490,4010,7600,7350,2560,14440,3560,,23610,13160,18790,18110,5190,4820,5840,7320,,85290
2013年,47280,63200,42350,47470,43400,44060,35370,74390,52330,22540,21340,29400,4480,43270,50500,7610,49220,13430,46330,,22520,,104180,13480,9260,,61160,88480,18200,14950,15260,4240,3980,7350,6790,2470,14810,3800,,23200,13470,19270,18140,5010,4870,6050,7330,,83960
2012年,47160,61650,41210,46710,43020,41330,36000,74510,52500,23500,21150,29760,4360,41010,49830,7420,48670,12910,40520,,21580,,99100,13220,8740,,58680,84560,16900,13800,14110,3870,3760,6290,6400,2140,13310,3500,,23310,13460,19350,17550,4750,4690,5700,7000,,78840
2011年,47070,61990,40620,47360,44220,42830,37680,74910,54120,24930,22660,31140,4390,40580,50310,7190,49910,13090,37630,,21300,,90270,12900,8610,,56090,79290,15870,13150,13220,3300,3420,5530,6130,1990,11040,3120,,24590,14050,19420,17240,4820,4780,5910,7240,,72670
2010年,47900,61220,41390,44790,43790,45220,37690,79020,53530,27660,22960,32130,4360,41670,49350,6910,49330,13100,36490,,20530,,88430,12730,8590,,53900,77360,14540,12630,12430,3000,3370,5370,5990,1820,9980,2990,,24560,13750,19210,17240,4720,4780,5850,6890,,72040
2009年,46250,60090,43940,43810,43760,47130,37690,69520,53520,29330,22840,32770,4280,44190,48710,6640,48590,13290,41660,115530,19520,183150,87840,12510,8810,,51900,70230,14470,14010,12430,2800,3250,4800,5590,1570,9230,2840,,24400,13810,18650,17050,4630,4840,6040,6710,,74380
2008年,46710,60390,48420,43870,43510,50930,37760,78950,52460,28660,22440,32440,4050,43760,48790,6100,49920,13220,49820,121040,19950,186710,87350,11990,8630,52140,55600,63020,15070,13410,12660,2670,3520,3870,5470,1500,9590,3220,,24710,13970,18300,17200,4350,4620,5650,6500,,69560
2007年,42760,55740,47790,40700,40250,50360,35820,74290,49390,26350,20770,29920,3480,44250,44200,4860,46040,11820,62320,111510,17720,161310,78400,9940,6520,47670,52190,62680,13500,11170,10620,2240,2710,2710,4310,1160,7560,2570,,21920,12350,15740,14870,3610,3840,4580,5230,65430,61240
2006年,40030,53540,45020,38370,37960,48360,34210,60170,46080,24550,19330,27970,3090,42740,41260,4290,42740,11300,53820,103560,16310,137470,69980,8460,4960,44440,48650,63900,11500,8880,8820,1790,1990,1890,3510,1030,5800,1950,,19950,10990,13920,12890,3340,3380,3970,4310,59810,43240
